Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar	Seed
1250.8468120098114	86	30.788944	29.110699	85.0	0.0	151.0	0.0	0.20390029	0.20390029	0.20390029	0.20390029	30049	2614263	1
1264.8216598033905	87	27.467337	27.908998	87.0	0.0	151.0	0.0	0.18190289	0.18190289	0.18190289	0.18190289	30049	2644312	1
1278.7973549365997	88	32.095478	28.093096	85.0	0.0	151.0	0.0	0.21255283	0.21255283	0.21255283	0.21255283	30049	2674361	1
1292.9691679477692	89	33.437187	28.36508	83.0	0.0	151.0	0.0	0.22143832	0.22143832	0.22143832	0.22143832	30049	2704410	1
1307.067578792572	90	33.688442	27.811884	85.0	0.0	151.0	0.0	0.22310227	0.22310227	0.22310227	0.22310227	30049	2734459	1
1321.0676589012146	91	31.085426	28.99069	89.0	0.0	151.0	0.0	0.20586376	0.20586376	0.20586376	0.20586376	30049	2764508	1
1335.3398730754852	92	36.668343	28.053263	85.0	0.0	151.0	0.0	0.2428367	0.2428367	0.2428367	0.2428367	30049	2794557	1
1349.4502339363098	93	31.73367	27.509787	86.0	0.0	151.0	0.0	0.21015674	0.21015674	0.21015674	0.21015674	30049	2824606	1
1363.4695298671722	94	36.60804	27.970139	88.0	0.0	151.0	0.0	0.24243735	0.24243735	0.24243735	0.24243735	30049	2854655	1
1377.4640998840332	95	36.110554	29.047663	87.0	0.0	151.0	0.0	0.23914273	0.23914273	0.23914273	0.23914273	30049	2884704	1
1391.5082399845123	96	36.663315	29.102352	87.0	0.0	151.0	0.0	0.24280342	0.24280342	0.24280342	0.24280342	30049	2914753	1
1405.5327928066254	97	35.005024	29.401997	83.0	0.0	151.0	0.0	0.23182136	0.23182136	0.23182136	0.23182136	30049	2944802	1
1419.6852459907532	98	35.296482	29.480385	89.0	0.0	151.0	0.0	0.23375154	0.23375154	0.23375154	0.23375154	30049	2974851	1
1433.692234992981	99	32.53266	29.228395	87.0	0.0	151.0	0.0	0.2154481	0.2154481	0.2154481	0.2154481	30049	3004900	1
