Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar	Seed
207.2642421722412	68	108.5478	14.401663	137.7237	78.39415	21.0	0.0	5.168943	5.168943	5.168942	5.168942	-0.6925423	0.00485289	1.6252397e-05	1.6870043e-05	0.6925439	1008	69552	10
210.22505116462708	69	108.01527	15.303852	128.00322	58.3909	21.0	0.0	5.1435843	5.1435843	5.143583	5.143583	-0.6930304	0.0026034801	1.4807201e-05	1.3974659e-05	0.6930319	1008	70560	10
213.3401620388031	70	106.990746	15.720086	127.886024	58.050392	21.0	0.0	5.094797	5.094797	5.0947995	5.0947995	-0.6934965	0.0038014767	1.9142979e-05	1.042525e-05	0.6934985	1008	71568	10
217.06817603111267	71	108.23925	12.356224	137.53336	87.82774	21.0	0.0	5.15425	5.15425	5.154249	5.154249	-0.6920071	0.0060685687	5.322205e-05	4.2303996e-05	0.6920124	1008	72576	10
220.0182011127472	72	113.18115	12.417731	137.64743	78.13553	21.0	0.0	5.389579	5.389579	5.389576	5.389576	-0.69167495	0.008738921	0.0002245032	0.00043313683	0.69169736	1008	73584	10
222.80668115615845	73	108.86147	15.22727	147.62515	78.21271	21.0	0.0	5.1838794	5.1838794	5.18388	5.18388	-0.69315284	0.005517058	0.0001063588	0.00021805175	0.6931635	1008	74592	10
225.9469292163849	74	109.01596	13.287364	128.1014	78.24949	21.0	0.0	5.191236	5.191236	5.1912355	5.1912355	-0.69314784	0.0016274748	7.016981e-06	1.3483127e-05	0.6931485	1008	75600	10
228.98384809494019	75	106.34192	15.620666	147.26196	68.6143	21.0	0.0	5.063901	5.063901	5.063902	5.063902	-0.6933464	0.00109415	1.5039222e-06	1.7413001e-06	0.6933465	1008	76608	10
231.92497515678406	76	107.05746	16.344519	137.7592	58.660454	21.0	0.0	5.097974	5.097974	5.097974	5.097974	-0.6930157	0.0019035445	6.9641032e-06	1.5899539e-05	0.6930164	1008	77616	10
234.90941309928894	77	111.31727	16.29869	147.33076	58.582893	21.0	0.0	5.300822	5.300822	5.3008223	5.3008223	-0.69313675	0.00047143278	7.043301e-07	5.6638015e-07	0.6931368	1008	78624	10
237.8968529701233	78	112.48779	12.982465	137.8558	87.84916	21.0	0.0	5.3565617	5.3565617	5.3565617	5.3565617	-0.6931718	0.0012073716	3.2439048e-06	3.908554e-06	0.69317204	1008	79632	10
240.77954506874084	79	113.7716	13.078482	138.01784	78.36598	21.0	0.0	5.4176946	5.4176946	5.4176946	5.4176946	-0.69303733	0.0020418256	7.309925e-06	1.1289406e-05	0.693038	1008	80640	10
243.404039144516	80	107.370995	12.635246	137.69211	78.532906	21.0	0.0	5.1129045	5.1129045	5.112903	5.112903	-0.69267017	0.004496228	6.524504e-05	0.0001868831	0.6926768	1008	81648	10
246.00651907920837	81	112.55558	11.599763	137.69719	87.887596	21.0	0.0	5.35979	5.35979	5.359791	5.359791	-0.6928306	0.0034416583	5.1976895e-05	9.2778944e-05	0.6928358	1008	82656	10
248.6170470714569	82	108.004944	14.487679	127.94042	58.843002	21.0	0.0	5.1430926	5.1430926	5.1430917	5.1430917	-0.6929804	0.0034409391	4.1313622e-05	9.06962e-05	0.6929846	1008	83664	10
251.2308452129364	83	106.0277	13.535718	137.9526	78.16078	21.0	0.0	5.0489383	5.0489383	5.048936	5.048936	-0.69377816	0.004577229	4.3601554e-05	5.7392954e-05	0.6937825	1008	84672	10
253.86602425575256	84	111.780975	12.096994	137.11502	88.32775	21.0	0.0	5.322904	5.322904	5.3229055	5.3229055	-0.69342506	0.0032850278	3.9602557e-05	7.298269e-05	0.693429	1008	85680	10
256.5207040309906	85	107.36964	16.689568	136.96353	58.652073	21.0	0.0	5.1128397	5.1128397	5.1128397	5.1128397	-0.69307077	0.0015241677	8.052786e-06	1.1145699e-05	0.6930716	1008	86688	10
259.168044090271	86	107.02386	19.19196	137.80797	48.309128	21.0	0.0	5.0963736	5.0963736	5.0963736	5.0963736	-0.69317853	0.0010167558	4.8824954e-06	8.517938e-06	0.69317895	1008	87696	10
261.78804302215576	87	108.98252	14.616892	137.74115	68.19831	21.0	0.0	5.189644	5.189644	5.1896453	5.1896453	-0.6932895	0.0014263291	1.3356649e-05	3.0359515e-05	0.69329095	1008	88704	10
264.3869559764862	88	100.96606	16.888412	137.60915	68.3494	21.0	0.0	4.8079076	4.8079076	4.8079066	4.8079066	-0.69318986	0.0018906924	1.2905336e-05	1.8790555e-05	0.6931912	1008	89712	10
266.99699306488037	89	102.661224	15.298625	128.05646	58.12713	21.0	0.0	4.8886304	4.8886304	4.8886304	4.8886304	-0.6930735	0.0025019431	1.9256186e-05	3.10418e-05	0.6930755	1008	90720	10
269.60553216934204	90	103.98101	16.169231	137.81718	77.985825	21.0	0.0	4.951477	4.951477	4.951477	4.951477	-0.6935699	0.002311007	2.2883678e-05	3.954481e-05	0.6935722	1008	91728	10
272.4385781288147	91	102.238335	14.012307	137.50124	68.33544	21.0	0.0	4.8684926	4.8684926	4.8684936	4.8684936	-0.69315636	0.0019075676	2.8202037e-05	8.059392e-05	0.6931592	1008	92736	10
275.3959860801697	92	104.59646	15.858943	137.89188	68.231735	21.0	0.0	4.9807835	4.9807835	4.980783	4.980783	-0.69310015	0.00095497316	3.3406945e-06	5.4551506e-06	0.6931006	1008	93744	10
278.0580132007599	93	103.87998	14.536491	127.82263	58.581696	21.0	0.0	4.9466662	4.9466662	4.9466653	4.9466653	-0.6931969	0.00061608653	3.641875e-06	1.0573508e-05	0.6931972	1008	94752	10
280.7430980205536	94	105.322105	15.058647	128.17314	68.297386	21.0	0.0	5.0153384	5.0153384	5.0153384	5.0153384	-0.6931686	0.00071969023	2.3218488e-06	5.36653e-06	0.6931688	1008	95760	10
283.41993379592896	95	105.967064	13.789137	128.01686	58.05124	21.0	0.0	5.0460505	5.0460505	5.04605	5.04605	-0.69318914	0.0006983399	2.0582006e-06	3.885077e-06	0.69318926	1008	96768	10
286.08521485328674	96	101.36398	17.855986	128.02055	38.20822	21.0	0.0	4.826856	4.826856	4.8268566	4.8268566	-0.6931026	0.0007809069	1.9853692e-06	2.6521666e-06	0.69310284	1008	97776	10
288.7836799621582	97	103.473724	14.415147	127.93403	58.58517	21.0	0.0	4.9273205	4.9273205	4.9273205	4.9273205	-0.69312775	0.00031601894	1.6183566e-07	5.0286627e-07	0.69312775	1008	98784	10
291.64750504493713	98	106.1108	13.813176	137.70387	58.33047	21.0	0.0	5.052895	5.052895	5.052896	5.052896	-0.693146	0.00042827832	1.676458e-07	4.0634038e-07	0.693146	1008	99792	10
293.9861521720886	99	99.44091	17.308949	127.751656	48.102436	21.0	0.0	4.735282	4.735282	4.735281	4.735281	-0.69317675	0.00046762248	9.938598e-07	2.0078567e-06	0.6931768	1008	100800	10
